environment.name, environment.size, iteration, instances, primary, secondary
dist, 16, 1, 3, 41, 40
dist, 16, 2, 4, 46, 184
dist, 16, 3, 14, 273, 973
dist, 16, 4, 56, 1705, 6019
dist, 16, 5, 224, 11484, 38723
dist, 16, 6, 896, 79442, 264195
dist, 2, 1, 3, 41, 40
dist, 2, 2, 4, 46, 184
dist, 2, 3, 14, 273, 973
dist, 2, 4, 56, 1705, 6019
dist, 2, 5, 224, 11484, 38723
dist, 2, 6, 896, 79442, 264195
dist, 4, 1, 3, 41, 40
dist, 4, 2, 4, 46, 184
dist, 4, 3, 14, 273, 973
dist, 4, 4, 56, 1705, 6019
dist, 4, 5, 224, 11484, 38723
dist, 4, 6, 896, 79442, 264195
dist, 8, 1, 3, 41, 40
dist, 8, 2, 4, 46, 184
dist, 8, 3, 14, 273, 973
dist, 8, 4, 56, 1705, 6019
dist, 8, 5, 224, 11484, 38723
dist, 8, 6, 896, 79442, 264195
